"id","user_id","category_type","account_id","account_owner","amount","authorized_date","date","iso_currency_code","personal_finance_category_primary","created_at","updated_at"
1,2,"expenses","X4XMl755BRfmZJyGKK46tv9raE4BN8ibAko11","",259.0,"","2025-09-06 00:00:00","USD","FOOD_AND_DRINK","2025-10-08 09:17:32","2025-10-08 09:17:32"
2,2,"rent","X4XMl755BRfmZJyGKK46tv9raE4BN8ibAko11","",117.0,"","2025-09-16 00:00:00","USD","RENT_AND_UTILITIES","2025-10-08 09:17:32","2025-10-08 09:17:32"
3,2,"paychecks","X4XMl755BRfmZJyGKK46tv9raE4BN8ibAko11","",-4948.0,"","2025-09-18 00:00:00","USD","INCOME","2025-10-08 09:17:32","2025-10-08 09:17:32"
4,2,"expenses","X4XMl755BRfmZJyGKK46tv9raE4BN8ibAko11","",45.0,"","2025-09-22 00:00:00","USD","GENERAL_MERCHANDISE","2025-10-08 09:17:32","2025-10-08 09:17:32"
5,2,"rent","X4XMl755BRfmZJyGKK46tv9raE4BN8ibAko11","",2519.0,"","2025-09-26 00:00:00","USD","RENT_AND_UTILITIES","2025-10-08 09:17:32","2025-10-08 09:17:32"
6,2,"paychecks","X4XMl755BRfmZJyGKK46tv9raE4BN8ibAko11","",-4948.0,"","2025-10-03 00:00:00","USD","INCOME","2025-10-08 09:17:32","2025-10-08 09:17:32"
7,2,"expenses","DgZW3b55VGhPevy4aampiL9yrR6NBgf3qNj4E","",12.44,"","2025-09-07 00:00:00","USD","FOOD_AND_DRINK","2025-10-08 09:17:32","2025-10-08 09:17:32"
8,2,"expenses","DgZW3b55VGhPevy4aampiL9yrR6NBgf3qNj4E","",45.0,"","2025-09-09 00:00:00","USD","GENERAL_MERCHANDISE","2025-10-08 09:17:32","2025-10-08 09:17:32"
9,2,"expenses","DgZW3b55VGhPevy4aampiL9yrR6NBgf3qNj4E","",10.48,"","2025-09-09 00:00:00","USD","ENTERTAINMENT","2025-10-08 09:17:32","2025-10-08 09:17:32"
10,2,"expenses","DgZW3b55VGhPevy4aampiL9yrR6NBgf3qNj4E","",10.7,"","2025-09-09 00:00:00","USD","GENERAL_MERCHANDISE","2025-10-08 09:17:32","2025-10-08 09:17:32"
